EDF,MSF,LLF,GA,|,station #,request #,off ratio,shuttle #,shut Capacity,|,EDF,MSF,LLF,GA,|init,EDF,MSF,LLF,GA,|rDS,
9,6,7,8,|,20,100,0.6,10,5,|,91,94,93,92,|init,5,5,5,5,1.44103198,
10,8,9,7,|,20,100,0.6,10,5,|,90,92,91,93,|init,5,5,5,5,1.46213828,
15,10,10,8,|,20,100,0.6,10,5,|,85,90,90,92,|init,6,6,6,6,1.50177606,
18,14,13,14,|,20,100,0.6,10,5,|,82,86,87,86,|init,11,11,11,11,1.47777116,
10,10,8,9,|,20,100,0.6,10,5,|,90,90,92,91,|init,5,5,5,5,1.38339183,
10,10,11,9,|,20,100,0.6,10,5,|,90,90,89,91,|init,6,6,6,6,1.44087463,
6,7,7,7,|,20,100,0.6,10,5,|,94,93,93,93,|init,3,3,3,3,1.40338658,
10,11,12,8,|,20,100,0.6,10,5,|,90,89,88,92,|init,7,7,7,7,1.47088475,
13,10,13,12,|,20,100,0.6,10,5,|,87,90,87,88,|init,7,7,7,7,1.49899721,
13,15,16,12,|,20,100,0.6,10,5,|,87,85,84,88,|init,6,6,6,6,1.45948021,
6,4,7,6,|,20,100,0.6,10,5,|,94,96,93,94,|init,3,3,3,3,1.47780206,
9,5,8,7,|,20,100,0.6,10,5,|,91,95,92,93,|init,4,4,4,4,1.47423693,
10,9,9,9,|,20,100,0.6,10,5,|,90,91,91,91,|init,6,6,6,6,1.51409705,
10,14,10,11,|,20,100,0.6,10,5,|,90,86,90,89,|init,7,7,7,7,1.48325977,
8,15,11,7,|,20,100,0.6,10,5,|,92,85,89,93,|init,7,7,7,7,1.4806708,
13,11,14,12,|,20,100,0.6,10,5,|,87,89,86,88,|init,8,8,8,8,1.41856028,
11,9,8,8,|,20,100,0.6,10,5,|,89,91,92,92,|init,6,6,6,6,1.44218356,
18,13,14,13,|,20,100,0.6,10,5,|,82,87,86,87,|init,9,9,9,9,1.43699633,
10,10,9,11,|,20,100,0.6,10,5,|,90,90,91,89,|init,8,8,8,8,1.4584441,
13,13,16,10,|,20,100,0.6,10,5,|,87,87,84,90,|init,7,7,7,7,1.41648229,
7,12,6,6,|,20,100,0.6,10,5,|,93,88,94,94,|init,2,2,2,2,1.47299474,
7,5,6,6,|,20,100,0.6,10,5,|,93,95,94,94,|init,5,5,5,5,1.44898503,
21,18,15,17,|,20,100,0.6,10,5,|,79,82,85,83,|init,14,14,14,14,1.45646758,
8,7,6,7,|,20,100,0.6,10,5,|,92,93,94,93,|init,6,6,6,6,1.4976558,
11,18,14,17,|,20,100,0.6,10,5,|,89,82,86,83,|init,6,6,6,6,1.4678947,
3,4,9,3,|,20,100,0.6,10,5,|,97,96,91,97,|init,3,3,3,3,1.44961128,
13,16,16,16,|,20,100,0.6,10,5,|,87,84,84,84,|init,9,9,9,9,1.4832924,
19,14,15,14,|,20,100,0.6,10,5,|,81,86,85,86,|init,10,10,10,10,1.4261081,
17,16,15,15,|,20,100,0.6,10,5,|,83,84,85,85,|init,9,9,9,9,1.46576086,
14,11,10,10,|,20,100,0.6,10,5,|,86,89,90,90,|init,10,10,10,10,1.42917196,
11,10,11,12,|,20,100,0.6,10,5,|,89,90,89,88,|init,8,8,8,8,1.50380102,
16,17,14,11,|,20,100,0.6,10,5,|,84,83,86,89,|init,9,9,9,9,1.40468741,
13,7,9,6,|,20,100,0.6,10,5,|,87,93,91,94,|init,4,4,4,4,1.41497398,
8,11,8,12,|,20,100,0.6,10,5,|,92,89,92,88,|init,7,7,7,7,1.45204316,
11,13,10,10,|,20,100,0.6,10,5,|,89,87,90,90,|init,7,7,7,7,1.43029594,
13,12,13,12,|,20,100,0.6,10,5,|,87,88,87,88,|init,7,7,7,7,1.48690902,
14,15,14,14,|,20,100,0.6,10,5,|,86,85,86,86,|init,11,11,11,11,1.40914994,
11,10,14,15,|,20,100,0.6,10,5,|,89,90,86,85,|init,7,7,7,7,1.43718416,
10,13,14,12,|,20,100,0.6,10,5,|,90,87,86,88,|init,8,8,8,8,1.5101573,
15,12,17,11,|,20,100,0.6,10,5,|,85,88,83,89,|init,10,10,10,10,1.45091588,
8,11,5,7,|,20,100,0.6,10,5,|,92,89,95,93,|init,3,3,3,3,1.47388972,
12,12,11,10,|,20,100,0.6,10,5,|,88,88,89,90,|init,8,8,8,8,1.46672465,
16,16,19,17,|,20,100,0.6,10,5,|,84,84,81,83,|init,10,10,10,10,1.43556076,
9,6,8,10,|,20,100,0.6,10,5,|,91,94,92,90,|init,3,3,3,3,1.47142266,
16,15,11,13,|,20,100,0.6,10,5,|,84,85,89,87,|init,9,9,9,9,1.42770782,
10,12,11,11,|,20,100,0.6,10,5,|,90,88,89,89,|init,7,7,7,7,1.45216871,
8,6,7,7,|,20,100,0.6,10,5,|,92,94,93,93,|init,4,4,4,4,1.44302645,
14,12,13,12,|,20,100,0.6,10,5,|,86,88,87,88,|init,8,8,8,8,1.46644969,

16,12,10,11,|,20,100,0.6,10,5,|,84.0,88.0,90.0,89.0,|init,6,6,6,6,1.4872558154758595
8,12,12,13,|,20,100,0.6,10,5,|,92.0,88.0,88.0,87.0,|init,4,4,4,4,1.4889555904655025
